posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted on 7-Mar-22,Greenpen Freight Services,Sales Executive,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Retail Sales",Transportation / Logistics,51 - 200 Employees
Posted 12 hours ago,North Talents Consulting,Business Development Manager,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Marketing/Business Dev",,
Posted on 11-Mar-22,AGCO GSI,Internship for Sales Support,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Retail Sales",Manufacturing / Production,51 - 200 Employees
Posted on 23-Feb-22,Watson's Personal Care Stores,Warehouse Supervisor (Butterworth Penang),,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Retail / Merchandise,2001 - 5000 Employees
Posted on 9-Mar-22,Alliance Contract Manufacturing,Security Guard,,Not Specified,Not Specified,,Full-Time,"Engineering,Electronics",Manufacturing / Production,501 - 1000 Employees
Posted on 11-Mar-22,CS EURO AUTO,Sales Executive (Basic+  Commissions + Incentive),,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Retail Sales",General & Wholesale Trading,1 - 50 Employees
Posted on 2-Mar-22,Carsome,"Assistant Manager, Branch Operation (B2C) - Juru",,Not Specified,Not Specified,,,"Services,Logistics/Supply Chain",Automobile / Automotive Ancillary / Vehicle,501 - 1000 Employees
Posted on 9-Mar-22,PAN-INTERNATIONAL ELECTRONICS S/,Production Operator,,Not Specified,Not Specified,,Full-Time,"Engineering,Electronics",Manufacturing / Production,1001 - 2000 Employees
Posted on 8-Mar-22,PKT Logistics,Maintenance Coordinator,,Not Specified,Not Specified,,Full-Time,"Engineering,Mechanical",Transportation / Logistics,1 - 50 Employees
Posted on 3-Mar-22,Max Pine International Holdings,Logistic Executive,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Consumer Products / FMCG,1 - 50 Employees
Posted 12 hours ago,K.K THEAN JURUTERA PERUNDING,Admin Officer,,Not Specified,Not Specified,,Full-Time,"Admin/Human Resources,Clerical/Administrative Support",,
Posted 12 hours ago,North Metal Industrial Sdn Bhd,Sales and Marketing Assistant,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",,
Posted 13 hours ago,SEMANGAT JAYA SETIA SDN BHD,Online Customer Services,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Maintenance",,
Posted 13 hours ago,Weilsin Trading & Transport,Hire Office Clerk of North Malaysia,,Not Specified,Not Specified,,Full-Time,"Admin/Human Resources,Clerical/Administrative Support",,
Posted on 12-Mar-22,ZW Packaging,Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
