posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted on 11-Mar-22,IOI Acidchem,TECHNICIANS (PLANT),,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,501 - 1000 Employees
Posted on 2-Mar-22,GB Chemical,Storekeeper,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Chemical/Fertilizers/Pesticides,51 - 200 Employees
Posted on 9-Mar-22,Bosch,Business Analyst,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,1001 - 2000 Employees
Posted on 4-Mar-22,Ivy Technology Global Services Malaysia,Debug Technician,,Not Specified,Not Specified,,Full-Time,"Engineering,Electronics",Electrical & Electronics,201 - 500 Employees
Posted on 4-Mar-22,Wan Lee Brothers,PROMOTER & ROTATE BM AREA,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",General & Wholesale Trading,201 - 500 Employees
Posted on 9-Mar-22,Intel,Engineering Planning Integrator,,Not Specified,Not Specified,,,"Manufacturing,Manufacturing",Semiconductor/Wafer Fabrication,More than 5000 Employees
Posted on 9-Mar-22,Season Malaysia Manufacturing,Store Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted on 9-Mar-22,Alliance Contract Manufacturing,Security Guard,,Not Specified,Not Specified,,Full-Time,"Engineering,Electronics",Manufacturing / Production,501 - 1000 Employees
Posted on 3-Mar-22,Emico Penang,Line Leader / Supervisor,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,201 - 500 Employees
Posted on 12-Mar-22,Dell,Global Business Operations (GBO) Business Technology & Enablement ~ Readiness & Adoption,,Not Specified,Not Specified,,,"Sales/Marketing,Sales - Corporate",Computer/Information Technology (Hardware),2001 - 5000 Employees
Posted on 4-Mar-22,Continental Automotive Components Malaysia,Store Assistant,,Not Specified,Not Specified,,Full-Time,"Others,General Work",Manufacturing / Production,1001 - 2000 Employees
Posted on 23-Feb-22,Watson's Personal Care Stores,Warehouse Supervisor (Butterworth Penang),,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Retail / Merchandise,2001 - 5000 Employees
Posted on 3-Mar-22,LONGCANE INDUSTRIES,Factory Worker,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted on 9-Mar-22,HAVANA TRADING,Lorry Driver (Pemandu Lori),,Not Specified,Not Specified,,Full-Time,"Others,General Work",Wood / Fibre / Paper,51 - 200 Employees
Posted on 8-Mar-22,PUNCH INDUSTRY MALAYSIA,Business Support Assistant,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Marketing/Business Dev",Heavy Industrial / Machinery / Equipment,51 - 200 Employees
Posted on 9-Mar-22,Season Malaysia Manufacturing,Quality Inspector (EMS),,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted on 9-Mar-22,Carsome,HRD Corp Open Day - Career Fair,,Not Specified,Not Specified,,,"Sales/Marketing,Marketing/Business Dev",Automobile / Automotive Ancillary / Vehicle,501 - 1000 Employees
Posted on 11-Mar-22,Jabil,Test Section Manager,,Not Specified,Not Specified,,Full-Time,"Engineering,Electrical",Electrical & Electronics,More than 5000 Employees
Posted on 9-Mar-22,Jabil,EC Co-Ordinator I,,Not Specified,Not Specified,,Full-Time,"Engineering,Electrical",Electrical & Electronics,More than 5000 Employees
Posted on 9-Mar-22,Intel,TEST Manufacturing Technical Supervisor,,Not Specified,Not Specified,,,"Engineering,Electronics",Semiconductor/Wafer Fabrication,More than 5000 Employees
Posted on 25-Feb-22,3D Instrumentation,Shipping Assistant,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,51 - 200 Employees
